r.nm	G.of.r	g.of.r
25.212	-251.612	0.986533
25.213	-245.534	0.986859
25.214	-235.662	0.987388
25.215	-221.8	0.98813
25.216	-203.836	0.989092
25.217	-181.726	0.990276
25.218	-155.513	0.991679
25.219	-125.338	0.993294
25.22	-91.3998	0.99511
25.221	-54.0112	0.99711
25.222	-13.5614	0.999274
25.223	29.5151	1.00158
25.224	74.6682	1.00399
25.225	121.324	1.00649
25.226	168.858	1.00903
25.227	216.611	1.01159
25.228	263.91	1.01412
25.229	310.072	1.01658
25.23	354.429	1.01896
25.231	396.338	1.0212
25.232	435.193	1.02327
25.233	470.455	1.02516
25.234	501.62	1.02682
25.235	528.273	1.02825
25.236	550.083	1.02941
25.237	566.804	1.03031
25.238	578.281	1.03092
25.239	584.445	1.03125
25.24	585.328	1.03129
25.241	581.044	1.03106
25.242	571.797	1.03057
25.243	557.879	1.02982
25.244	539.624	1.02884
25.245	517.45	1.02766
25.246	491.819	1.02629
25.247	463.232	1.02476
25.248	432.213	1.0231
25.249	399.302	1.02134
25.25	365.054	1.01951
25.251	330.001	1.01763
25.252	294.67	1.01575
25.253	259.555	1.01387
25.254	225.118	1.01203
25.255	191.785	1.01025
25.256	159.936	1.00855
25.257	129.908	1.00694
25.258	101.982	1.00545
25.259	76.3959	1.00408
25.26	53.3382	1.00285
25.261	32.9542	1.00176
25.262	15.3483	1.00082
25.263	0.572891	1.00003
25.264	-11.3405	0.999394
25.265	-20.4031	0.99891
25.266	-26.6229	0.998578
25.267	-30.0721	0.998394
25.268	-30.8221	0.998354
25.269	-28.9643	0.998453
25.27	-24.5968	0.998687
25.271	-17.8391	0.999047
25.272	-8.81854	0.999529
25.273	2.32518	1.00012
25.274	15.4428	1.00082
25.275	30.3746	1.00162
25.276	46.9535	1.00251
25.277	64.9936	1.00347
25.278	84.3009	1.0045
25.279	104.672	1.00559
25.28	125.875	1.00672
25.281	147.686	1.00788
25.282	169.849	1.00907
25.283	192.104	1.01025
25.284	214.172	1.01143
25.285	235.771	1.01258
25.286	256.6	1.01369
25.287	276.36	1.01475
25.288	294.738	1.01573
25.289	311.432	1.01662
25.29	326.137	1.0174
25.291	338.554	1.01806
25.292	348.404	1.01859
25.293	355.416	1.01896
25.294	359.359	1.01917
25.295	360.017	1.01921
25.296	357.217	1.01906
25.297	350.826	1.01871
25.298	340.748	1.01818
25.299	326.956	1.01744
25.3	309.467	1.01651
25.301	288.358	1.01538
25.302	263.773	1.01407
25.303	235.904	1.01258
25.304	205.016	1.01093
25.305	171.424	1.00914
25.306	135.511	1.00723
25.307	97.6885	1.00521
25.308	58.4189	1.00311
25.309	18.1956	1.00097
25.31	-22.4739	0.998802
25.311	-63.0604	0.996638
25.312	-103.064	0.994506
25.313	-141.974	0.992432
25.314	-179.325	0.990441
25.315	-214.688	0.988556
25.316	-247.675	0.986799
25.317	-277.978	0.985184
25.318	-305.347	0.983726
25.319	-329.599	0.982434
25.32	-350.635	0.981314
25.321	-368.42	0.980367
25.322	-383.006	0.97959
25.323	-394.503	0.978978
25.324	-403.072	0.978522
25.325	-408.929	0.978211
25.326	-412.326	0.978031
25.327	-413.543	0.977967
25.328	-412.863	0.978004
25.329	-410.568	0.978127
25.33	-406.931	0.978322
25.331	-402.189	0.978575
25.332	-396.554	0.978876
25.333	-390.192	0.979216
25.334	-383.212	0.979589
25.335	-375.696	0.97999
25.336	-367.643	0.98042
25.337	-359.035	0.980879
25.338	-349.804	0.981371
25.339	-339.835	0.981903
25.34	-329.011	0.98248
25.341	-317.184	0.98311
25.342	-304.215	0.983801
25.343	-289.965	0.984561
25.344	-274.309	0.985395
25.345	-257.171	0.986308
25.346	-238.484	0.987303
25.347	-218.232	0.988382
25.348	-196.459	0.989542
25.349	-173.229	0.990779
25.35	-148.673	0.992086
25.351	-122.953	0.993455
25.352	-96.2741	0.994876
25.353	-68.8711	0.996334
25.354	-40.9969	0.997818
25.355	-12.9093	0.999313
25.356	15.1177	1.0008
25.357	42.8319	1.00228
25.358	69.9817	1.00372
25.359	96.358	1.00513
25.36	121.78	1.00648
25.361	146.105	1.00777
25.362	169.219	1.009
25.363	191.054	1.01016
25.364	211.585	1.01126
25.365	230.838	1.01228
25.366	248.834	1.01324
25.367	265.642	1.01413
25.368	281.331	1.01496
25.369	295.994	1.01574
25.37	309.708	1.01647
25.371	322.528	1.01715
25.372	334.506	1.01779
25.373	345.66	1.01838
25.374	355.968	1.01893
25.375	365.376	1.01943
25.376	373.78	1.01988
25.377	381.049	1.02026
25.378	387.002	1.02058
25.379	391.429	1.02081
25.38	394.1	1.02095
25.381	394.74	1.02099
25.382	393.095	1.0209
25.383	388.895	1.02067
25.384	381.867	1.0203
25.385	371.788	1.01976
25.386	358.435	1.01905
25.387	341.641	1.01816
25.388	321.281	1.01708
25.389	297.273	1.0158
25.39	269.615	1.01433
25.391	238.333	1.01267
25.392	203.543	1.01082
25.393	165.406	1.00879
25.394	124.13	1.0066
25.395	80.0022	1.00425
25.396	33.3303	1.00177
25.397	-15.5294	0.999175
25.398	-66.1837	0.996484
25.399	-118.227	0.993719
25.4	-171.223	0.990904
25.401	-224.738	0.988061
25.402	-278.341	0.985214
25.403	-331.584	0.982387
25.404	-384.068	0.979599
25.405	-435.361	0.976876
25.406	-485.084	0.974236
25.407	-532.874	0.971699
25.408	-578.376	0.969283
25.409	-621.27	0.967006
25.41	-661.241	0.964885
25.411	-698.025	0.962933
25.412	-731.36	0.961165
25.413	-760.998	0.959592
25.414	-786.73	0.958228
25.415	-808.351	0.957081
25.416	-825.679	0.956163
25.417	-838.566	0.955481
25.418	-846.861	0.955042
25.419	-850.455	0.954853
25.42	-849.277	0.954917
25.421	-843.252	0.955239
25.422	-832.366	0.955819
25.423	-816.625	0.956656
25.424	-796.086	0.957748
25.425	-770.848	0.959089
25.426	-741.045	0.960672
25.427	-706.878	0.962487
25.428	-668.569	0.964521
25.429	-626.409	0.96676
25.43	-580.749	0.969184
25.431	-531.954	0.971774
25.432	-480.457	0.974508
25.433	-426.728	0.977359
25.434	-371.252	0.980303
25.435	-314.56	0.983312
25.436	-257.19	0.986356
25.437	-199.701	0.989406
25.438	-142.642	0.992433
25.439	-86.541	0.99541
25.44	-31.9489	0.998305
25.441	20.6453	1.0011
25.442	70.7859	1.00375
25.443	118.04	1.00626
25.444	162.062	1.00859
25.445	202.534	1.01074
25.446	239.211	1.01269
25.447	271.932	1.01442
25.448	300.587	1.01594
25.449	325.153	1.01724
25.45	345.66	1.01833
25.451	362.225	1.0192
25.452	375.033	1.01988
25.453	384.298	1.02037
25.454	390.334	1.02069
25.455	393.464	1.02086
25.456	394.059	1.02089
25.457	392.534	1.02081
25.458	389.304	1.02063
25.459	384.788	1.02039
25.46	379.42	1.02011
25.461	373.606	1.0198
25.462	367.748	1.01949
25.463	362.181	1.01919
25.464	357.242	1.01893
25.465	353.195	1.01872
25.466	350.246	1.01856
25.467	348.56	1.01847
25.468	348.228	1.01845
25.469	349.271	1.0185
25.47	351.662	1.01863
25.471	355.294	1.01882
25.472	360.017	1.01907
25.473	365.601	1.01937
25.474	371.791	1.01969
25.475	378.281	1.02004
25.476	384.718	1.02038
25.477	390.741	1.0207
25.478	395.981	1.02097
25.479	400.038	1.02119
25.48	402.55	1.02132
25.481	403.156	1.02135
25.482	401.528	1.02126
25.483	397.402	1.02104
25.484	390.529	1.02068
25.485	380.749	1.02016
25.486	367.945	1.01948
25.487	352.097	1.01864
25.488	333.252	1.01764
25.489	311.521	1.01649
25.49	287.113	1.0152
25.491	260.307	1.01378
25.492	231.431	1.01225
25.493	200.914	1.01063
25.494	169.205	1.00896
25.495	136.808	1.00724
25.496	104.276	1.00552
25.497	72.1544	1.00382
25.498	41.0151	1.00217
25.499	11.4032	1.0006
25.5	-16.1401	0.999146
25.501	-41.1125	0.997825
25.502	-63.084	0.996662
25.503	-81.6461	0.99568
25.504	-96.4854	0.994895
25.505	-107.363	0.99432
25.506	-114.112	0.993963
25.507	-116.661	0.993828
25.508	-115.036	0.993915
25.509	-109.339	0.994216
25.51	-99.7646	0.994723
25.511	-86.5779	0.995421
25.512	-70.1415	0.99629
25.513	-50.8574	0.99731
25.514	-29.1989	0.998456
25.515	-5.69579	0.999699
25.516	19.1115	1.00101
25.517	44.6525	1.00236
25.518	70.3214	1.00372
25.519	95.5547	1.00505
25.52	119.781	1.00633
25.521	142.456	1.00753
25.522	163.078	1.00862
25.523	181.199	1.00958
25.524	196.425	1.01038
25.525	208.414	1.01102
25.526	216.915	1.01147
25.527	221.749	1.01172
25.528	222.799	1.01178
25.529	220.053	1.01163
25.53	213.568	1.01129
25.531	203.473	1.01075
25.532	189.999	1.01004
25.533	173.416	1.00916
25.534	154.073	1.00814
25.535	132.372	1.007
25.536	108.767	1.00575
25.537	83.7576	1.00443
25.538	57.8349	1.00306
25.539	31.5392	1.00167
25.54	5.40672	1.00029
25.541	-20.0527	0.998941
25.542	-44.3235	0.997658
25.543	-66.9339	0.996464
25.544	-87.459	0.99538
25.545	-105.492	0.994428
25.546	-120.715	0.993624
25.547	-132.854	0.992983
25.548	-141.704	0.992516
25.549	-147.123	0.99223
25.55	-149.031	0.992129
25.551	-147.438	0.992214
25.552	-142.379	0.992481
25.553	-133.97	0.992925
25.554	-122.383	0.993538
25.555	-107.82	0.994307
25.556	-90.5262	0.99522
25.557	-70.7833	0.996263
25.558	-48.8896	0.997419
25.559	-25.1543	0.998672
25.56	0.0998024	1.00001
25.561	26.5478	1.0014
25.562	53.8805	1.00284
25.563	81.7908	1.00432
25.564	109.971	1.0058
25.565	138.155	1.00729
25.566	166.082	1.00877
25.567	193.485	1.01021
25.568	220.143	1.01162
25.569	245.833	1.01297
25.57	270.347	1.01427
25.571	293.486	1.01549
25.572	315.064	1.01663
25.573	334.892	1.01767
25.574	352.792	1.01861
25.575	368.6	1.01945
25.576	382.131	1.02016
25.577	393.229	1.02075
25.578	401.74	1.02119
25.579	407.522	1.0215
25.58	410.431	1.02165
25.581	410.371	1.02165
25.582	407.244	1.02148
25.583	400.972	1.02115
25.584	391.517	1.02065
25.585	378.876	1.01998
25.586	363.064	1.01915
25.587	344.138	1.01815
25.588	322.196	1.01699
25.589	297.362	1.01568
25.59	269.791	1.01423
25.591	239.685	1.01264
25.592	207.258	1.01093
25.593	172.744	1.00911
25.594	136.415	1.00719
25.595	98.5389	1.0052
25.596	59.3903	1.00313
25.597	19.2534	1.00101
25.598	-21.5865	0.998862
25.599	-62.8678	0.996686
25.6	-104.328	0.994501
25.601	-145.709	0.99232
25.602	-186.788	0.990155
25.603	-227.352	0.988018
25.604	-267.19	0.985919
25.605	-306.114	0.983868
25.606	-343.973	0.981873
25.607	-380.594	0.979944
25.608	-415.825	0.978089
25.609	-449.531	0.976313
25.61	-481.58	0.974626
25.611	-511.821	0.973033
25.612	-540.13	0.971543
25.613	-566.372	0.970161
25.614	-590.407	0.968896
25.615	-612.115	0.967754
25.616	-631.364	0.966741
25.617	-648.025	0.965865
25.618	-661.983	0.965131
25.619	-673.15	0.964544
25.62	-681.432	0.96411
25.621	-686.77	0.96383
25.622	-689.131	0.963707
25.623	-688.521	0.96374
25.624	-684.968	0.963929
25.625	-678.542	0.964269
25.626	-669.362	0.964754
25.627	-657.576	0.965375
25.628	-643.39	0.966124
25.629	-627.039	0.966986
25.63	-608.79	0.967948
25.631	-588.943	0.968994
25.632	-567.846	0.970106
25.633	-545.819	0.971267
25.634	-523.223	0.972457
25.635	-500.413	0.973659
25.636	-477.731	0.974854
25.637	-455.481	0.976026
25.638	-433.961	0.97716
25.639	-413.405	0.978242
25.64	-394.007	0.979264
25.641	-375.903	0.980218
25.642	-359.167	0.981099
25.643	-343.784	0.981909
25.644	-329.709	0.982651
25.645	-316.811	0.98333
25.646	-304.894	0.983958
25.647	-293.716	0.984547
25.648	-282.988	0.985112
25.649	-272.4	0.985669
25.65	-261.591	0.986238
25.651	-250.228	0.986837
25.652	-237.977	0.987482
25.653	-224.52	0.98819
25.654	-209.614	0.988974
25.655	-193.046	0.989846
25.656	-174.679	0.990813
25.657	-154.469	0.991876
25.658	-132.46	0.993034
25.659	-108.765	0.99428
25.66	-83.6245	0.995602
25.661	-57.3585	0.996984
25.662	-30.3844	0.998402
25.663	-3.16645	0.999834
25.664	23.736	1.00125
25.665	49.7305	1.00261
25.666	74.2171	1.0039
25.667	96.5549	1.00508
25.668	116.145	1.00611
25.669	132.433	1.00696
25.67	144.903	1.00762
25.671	153.134	1.00805
25.672	156.806	1.00824
25.673	155.71	1.00818
25.674	149.751	1.00787
25.675	138.972	1.0073
25.676	123.562	1.00649
25.677	103.83	1.00546
25.678	80.2035	1.00421
25.679	53.2607	1.0028
25.68	23.6436	1.00124
25.681	-7.90336	0.999585
25.682	-40.5553	0.997869
25.683	-73.4792	0.996139
25.684	-105.796	0.994442
25.685	-136.631	0.992822
25.686	-165.156	0.991324
25.687	-190.569	0.989989
25.688	-212.165	0.988855
25.689	-229.302	0.987955
25.69	-241.454	0.987317
25.691	-248.22	0.986963
25.692	-249.295	0.986907
25.693	-244.531	0.987157
25.694	-233.892	0.987717
25.695	-217.46	0.98858
25.696	-195.457	0.989736
25.697	-168.2	0.991168
25.698	-136.088	0.992854
25.699	-99.6301	0.994769
25.7	-59.3798	0.996882
25.701	-15.9568	0.999162
25.702	30.0154	1.00158
25.703	77.8603	1.00409
25.704	126.92	1.00666
25.705	176.566	1.00927
25.706	226.174	1.01187
25.707	275.163	1.01444
25.708	323.033	1.01696
25.709	369.304	1.01938
25.71	413.572	1.02171
25.711	455.519	1.02391
25.712	494.855	1.02597
25.713	531.393	1.02789
25.714	564.989	1.02965
25.715	595.577	1.03125
25.716	623.138	1.0327
25.717	647.693	1.03398
25.718	669.344	1.03512
25.719	688.188	1.03611
25.72	704.375	1.03695
25.721	718.089	1.03767
25.722	729.506	1.03827
25.723	738.829	1.03876
25.724	746.278	1.03915
25.725	752.042	1.03945
25.726	756.329	1.03967
25.727	759.319	1.03983
25.728	761.193	1.03992
25.729	762.105	1.03997
25.73	762.18	1.03997
25.731	761.542	1.03994
25.732	760.261	1.03987
25.733	758.393	1.03977
25.734	755.977	1.03964
25.735	753.005	1.03948
25.736	749.452	1.0393
25.737	745.282	1.03907
25.738	740.412	1.03882
25.739	734.764	1.03852
25.74	728.23	1.03818
25.741	720.697	1.03778
25.742	712.052	1.03733
25.743	702.167	1.03681
25.744	690.941	1.03622
25.745	678.251	1.03555
25.746	664.002	1.0348
25.747	648.139	1.03397
25.748	630.588	1.03305
25.749	611.311	1.03204
25.75	590.316	1.03093
25.751	567.595	1.02974
25.752	543.197	1.02846
25.753	517.174	1.0271
25.754	489.594	1.02565
25.755	460.556	1.02413
25.756	430.145	1.02254
25.757	398.473	1.02088
25.758	365.64	1.01915
25.759	331.738	1.01738
25.76	296.878	1.01555
25.761	261.113	1.01368
25.762	224.512	1.01176
25.763	187.137	1.0098
25.764	149.002	1.0078
25.765	110.128	1.00577
25.766	70.5282	1.00369
25.767	30.183	1.00158
25.768	-10.9054	0.999429
25.769	-52.7562	0.997237
25.77	-95.3727	0.995006
25.771	-138.742	0.992735
25.772	-182.845	0.990427
25.773	-227.619	0.988083
25.774	-272.998	0.985707
25.775	-318.877	0.983306
25.776	-365.1	0.980887
25.777	-411.503	0.978459
25.778	-457.883	0.976031
25.779	-503.975	0.97362
25.78	-549.538	0.971236
25.781	-594.26	0.968896
25.782	-637.837	0.966617
25.783	-679.947	0.964414
25.784	-720.255	0.962306
25.785	-758.438	0.960309
25.786	-794.165	0.958441
25.787	-827.13	0.956718
25.788	-857.044	0.955154
25.789	-883.621	0.953765
25.79	-906.634	0.952563
25.791	-925.866	0.951559
25.792	-941.119	0.950763
25.793	-952.245	0.950182
25.794	-959.115	0.949825
25.795	-961.629	0.949695
25.796	-959.706	0.949798
25.797	-953.296	0.950135
25.798	-942.368	0.950709
25.799	-926.915	0.951519
25.8	-906.94	0.952565
25.801	-882.468	0.953847
25.802	-853.54	0.955362
25.803	-820.212	0.957106
25.804	-782.571	0.959077
25.805	-740.697	0.961268
25.806	-694.728	0.963673
25.807	-644.817	0.966284
25.808	-591.144	0.969092
25.809	-533.94	0.972084
25.81	-473.475	0.975246
25.811	-410.054	0.978563
25.812	-344.052	0.982014
25.813	-275.879	0.985578
25.814	-206.004	0.989231
25.815	-134.94	0.992946
25.816	-63.2586	0.996694
25.817	8.42565	1.00044
25.818	79.4782	1.00415
25.819	149.209	1.0078
25.82	216.93	1.01134
25.821	281.953	1.01473
25.822	343.575	1.01795
25.823	401.134	1.02096
25.824	453.998	1.02372
25.825	501.592	1.02621
25.826	543.4	1.02839
25.827	578.99	1.03025
25.828	608.017	1.03177
25.829	630.232	1.03293
25.83	645.506	1.03372
25.831	653.799	1.03415
25.832	655.196	1.03423
25.833	649.883	1.03395
25.834	638.165	1.03333
25.835	620.428	1.03241
25.836	597.151	1.03119
25.837	568.891	1.02971
25.838	536.265	1.02801
25.839	499.934	1.02611
25.84	460.598	1.02405
25.841	418.956	1.02188
25.842	375.728	1.01962
25.843	331.598	1.01731
25.844	287.247	1.015
25.845	243.297	1.0127
25.846	200.331	1.01046
25.847	158.864	1.00829
25.848	119.353	1.00623
25.849	82.191	1.00429
25.85	47.7048	1.00249
25.851	16.1302	1.00084
25.852	-12.3568	0.999355
25.853	-37.6543	0.998035
25.854	-59.7192	0.996883
25.855	-78.5936	0.995898
25.856	-94.367	0.995075
25.857	-107.213	0.994405
25.858	-117.346	0.993876
25.859	-125.042	0.993475
25.86	-130.628	0.993184
25.861	-134.482	0.992983
25.862	-137.028	0.99285
25.863	-138.72	0.992762
25.864	-140.053	0.992693
25.865	-141.544	0.992616
25.866	-143.723	0.992502
25.867	-147.128	0.992325
25.868	-152.288	0.992056
25.869	-159.712	0.991669
25.87	-169.879	0.991139
25.871	-183.22	0.990444
25.872	-200.1	0.989564
25.873	-220.802	0.988484
25.874	-245.524	0.987195
25.875	-274.352	0.985693
25.876	-307.262	0.983977
25.877	-344.109	0.982056
25.878	-384.605	0.979945
25.879	-428.357	0.977665
25.88	-474.821	0.975243
25.881	-523.348	0.972714
25.882	-573.175	0.970117
25.883	-623.432	0.967498
25.884	-673.19	0.964905
25.885	-721.451	0.962391
25.886	-767.185	0.960008
25.887	-809.361	0.957811
25.888	-846.957	0.955853
25.889	-878.999	0.954185
25.89	-904.585	0.952853
25.891	-922.905	0.9519
25.892	-933.266	0.951362
25.893	-935.113	0.951268
25.894	-928.041	0.951638
25.895	-911.8	0.952486
25.896	-886.33	0.953815
25.897	-851.727	0.95562
25.898	-808.264	0.957886
25.899	-756.389	0.960591
25.9	-696.697	0.963702
25.901	-629.938	0.967182
25.902	-556.972	0.970984
25.903	-478.786	0.975058
25.904	-396.449	0.979348
25.905	-311.096	0.983795
25.906	-223.902	0.988337
25.907	-136.059	0.992913
25.908	-48.7606	0.99746
25.909	36.8419	1.00192
25.91	119.642	1.00623
25.911	198.602	1.01034
25.912	272.779	1.01421
25.913	341.327	1.01777
25.914	403.535	1.02101
25.915	458.804	1.02389
25.916	506.686	1.02638
25.917	546.876	1.02847
25.918	579.214	1.03016
25.919	603.686	1.03143
25.92	620.411	1.0323
25.921	629.659	1.03278
25.922	631.812	1.03289
25.923	627.377	1.03266
25.924	616.938	1.03211
25.925	601.193	1.03129
25.926	580.89	1.03023
25.927	556.837	1.02898
25.928	529.849	1.02758
25.929	500.77	1.02606
25.93	470.422	1.02448
25.931	439.619	1.02288
25.932	409.098	1.02129
25.933	379.557	1.01975
25.934	351.609	1.01829
25.935	325.777	1.01695
25.936	302.493	1.01574
25.937	282.073	1.01467
25.938	264.739	1.01377
25.939	250.596	1.01304
25.94	239.641	1.01247
25.941	231.789	1.01206
25.942	226.845	1.0118
25.943	224.546	1.01168
25.944	224.544	1.01168
25.945	226.453	1.01178
25.946	229.84	1.01195
25.947	234.249	1.01218
25.948	239.209	1.01244
25.949	244.265	1.0127
25.95	248.998	1.01295
25.951	253.001	1.01316
25.952	255.938	1.01331
25.953	257.503	1.01339
25.954	257.495	1.01339
25.955	255.767	1.0133
25.956	252.239	1.01311
25.957	246.936	1.01284
25.958	239.943	1.01247
25.959	231.411	1.01203
25.96	221.583	1.01152
25.961	210.734	1.01095
25.962	199.211	1.01035
25.963	187.383	1.00974
25.964	175.651	1.00913
25.965	164.434	1.00855
25.966	154.148	1.00801
25.967	145.195	1.00755
25.968	137.96	1.00717
25.969	132.777	1.0069
25.97	129.961	1.00675
25.971	129.753	1.00674
25.972	132.324	1.00687
25.973	137.808	1.00716
25.974	146.256	1.0076
25.975	157.634	1.00819
25.976	171.86	1.00893
25.977	188.778	1.00981
25.978	208.173	1.01081
25.979	229.781	1.01194
25.98	253.284	1.01316
25.981	278.334	1.01446
25.982	304.561	1.01582
25.983	331.563	1.01722
25.984	358.958	1.01864
25.985	386.334	1.02006
25.986	413.326	1.02146
25.987	439.577	1.02283
25.988	464.748	1.02413
25.989	488.569	1.02537
25.99	510.785	1.02652
25.991	531.172	1.02758
25.992	549.579	1.02853
25.993	565.877	1.02938
25.994	579.987	1.03011
25.995	591.866	1.03072
25.996	601.49	1.03122
25.997	608.872	1.0316
25.998	614.058	1.03187
25.999	617.073	1.03203
26	617.975	1.03207
26.001	616.796	1.03201
26.002	613.581	1.03184
26.003	608.36	1.03157
26.004	601.122	1.03119
26.005	591.86	1.03071
26.006	580.533	1.03012
26.007	567.066	1.02942
26.008	551.38	1.02861
26.009	533.354	1.02767
26.01	512.868	1.02661
26.011	489.77	1.02541
26.012	463.904	1.02407
26.013	435.129	1.02257
26.014	403.293	1.02092
26.015	368.26	1.0191
26.016	329.928	1.01711
26.017	288.205	1.01495
26.018	243.068	1.01261
26.019	194.525	1.01009
26.02	142.617	1.0074
26.021	87.4831	1.00454
26.022	29.2953	1.00152
26.023	-31.7024	0.998356
26.024	-95.1862	0.995064
26.025	-160.79	0.991663
26.026	-228.071	0.988175
26.027	-296.516	0.984627
26.028	-365.578	0.981047
26.029	-434.65	0.977467
26.03	-503.104	0.973919
26.031	-570.267	0.970439
26.032	-635.453	0.967061
26.033	-697.999	0.96382
26.034	-757.225	0.960752
26.035	-812.481	0.957889
26.036	-863.178	0.955264
26.037	-908.739	0.952904
26.038	-948.678	0.950836
26.039	-982.587	0.949081
26.04	-1010.12	0.947656
26.041	-1031.02	0.946575
26.042	-1045.16	0.945844
26.043	-1052.47	0.945468
26.044	-1053.01	0.945442
26.045	-1046.91	0.94576
26.046	-1034.42	0.946409
26.047	-1015.85	0.947373
26.048	-991.603	0.948631
26.049	-962.165	0.950158
26.05	-928.057	0.951927
26.051	-889.843	0.953908
26.052	-848.141	0.95607
26.053	-803.562	0.95838
26.054	-756.736	0.960807
26.055	-708.295	0.963317
26.056	-658.829	0.965881
26.057	-608.918	0.968467
26.058	-559.122	0.971046
26.059	-509.931	0.973595
26.06	-461.816	0.976087
26.061	-415.173	0.978503
26.062	-370.381	0.980823
26.063	-327.752	0.983031
26.064	-287.553	0.985113
26.065	-250.028	0.987056
26.066	-215.352	0.988852
26.067	-183.682	0.990492
26.068	-155.158	0.991968
26.069	-129.856	0.993278
26.07	-107.844	0.994418
26.071	-89.1816	0.995384
26.072	-73.8743	0.996177
26.073	-61.9306	0.996795
26.074	-53.319	0.997241
26.075	-47.9772	0.997517
26.076	-45.8237	0.997629
26.077	-46.7492	0.997581
26.078	-50.607	0.997381
26.079	-57.2023	0.99704
26.08	-66.3087	0.996569
26.081	-77.6792	0.995981
26.082	-91.0088	0.995292
26.083	-105.96	0.994518
26.084	-122.176	0.99368
26.085	-139.252	0.992796
26.086	-156.772	0.99189
26.087	-174.323	0.990983
26.088	-191.456	0.990097
26.089	-207.751	0.989255
26.09	-222.794	0.988477
26.091	-236.185	0.987785
26.092	-247.57	0.987197
26.093	-256.634	0.986728
26.094	-263.11	0.986394
26.095	-266.772	0.986205
26.096	-267.457	0.98617
26.097	-265.085	0.986293
26.098	-259.608	0.986577
26.099	-251.037	0.987021
26.1	-239.457	0.98762
26.101	-224.987	0.988368
26.102	-207.788	0.989258
26.103	-188.072	0.990278
26.104	-166.054	0.991416
26.105	-141.983	0.992661
26.106	-116.126	0.993998
26.107	-88.7332	0.995414
26.108	-60.0664	0.996895
26.109	-30.3801	0.99843
26.11	0.102821	1.00001
26.111	31.1497	1.00161
26.112	62.5584	1.00323
26.113	94.1419	1.00486
26.114	125.728	1.0065
26.115	157.167	1.00812
26.116	188.29	1.00973
26.117	218.967	1.01131
26.118	249.06	1.01287
26.119	278.412	1.01438
26.12	306.887	1.01585
26.121	334.33	1.01727
26.122	360.567	1.01863
26.123	385.442	1.01991
26.124	408.768	1.02111
26.125	430.343	1.02223
26.126	449.994	1.02324
26.127	467.522	1.02415
26.128	482.728	1.02493
26.129	495.433	1.02559
26.13	505.481	1.0261
26.131	512.722	1.02648
26.132	517.033	1.0267
26.133	518.344	1.02676
26.134	516.609	1.02667
26.135	511.804	1.02643
26.136	503.97	1.02602
26.137	493.188	1.02546
26.138	479.577	1.02476
26.139	463.302	1.02392
26.14	444.562	1.02295
26.141	423.593	1.02187
26.142	400.671	1.02068
26.143	376.082	1.01941
26.144	350.114	1.01807
26.145	323.082	1.01667
26.146	295.31	1.01524
26.147	267.092	1.01378
26.148	238.721	1.01232
26.149	210.467	1.01086
26.15	182.573	1.00942
26.151	155.253	1.00801
26.152	128.699	1.00664
26.153	103.062	1.00532
26.154	78.4502	1.00405
26.155	54.9651	1.00284
26.156	32.6637	1.00169
26.157	11.5785	1.0006
26.158	-8.26779	0.999573
26.159	-26.8699	0.998614
26.16	-44.2433	0.997718
26.161	-60.3952	0.996885
26.162	-75.3195	0.996115
26.163	-89.0338	0.995408
26.164	-101.528	0.994764
26.165	-112.775	0.994184
26.166	-122.748	0.99367
26.167	-131.403	0.993224
26.168	-138.679	0.992849
26.169	-144.514	0.992548
26.17	-148.834	0.992326
26.171	-151.56	0.992186
26.172	-152.612	0.992132
26.173	-151.942	0.992166
26.174	-149.475	0.992294
26.175	-145.174	0.992516
26.176	-139.029	0.992833
26.177	-131.033	0.993245
26.178	-121.221	0.993751
26.179	-109.647	0.994348
26.18	-96.4009	0.995031
26.181	-81.5715	0.995796
26.182	-65.3173	0.996634
26.183	-47.7917	0.997537
26.184	-29.1635	0.998497
26.185	-9.62872	0.999504
26.186	10.6119	1.00055
26.187	31.3502	1.00162
26.188	52.3788	1.0027
26.189	73.4868	1.00379
26.19	94.4864	1.00487
26.191	115.189	1.00593
26.192	135.408	1.00698
26.193	154.993	1.00798
26.194	173.805	1.00895
26.195	191.71	1.00988
26.196	208.602	1.01075
26.197	224.403	1.01156
26.198	239.033	1.01231
26.199	252.438	1.013
26.2	264.586	1.01363
26.201	275.445	1.01419
26.202	285.005	1.01468
26.203	293.274	1.0151
26.204	300.255	1.01546
26.205	305.98	1.01576
26.206	310.489	1.01599
26.207	313.833	1.01616
26.208	316.06	1.01627
26.209	317.254	1.01633
26.21	317.498	1.01635
26.211	316.859	1.01631
26.212	315.455	1.01624
26.213	313.383	1.01613
26.214	310.747	1.016
26.215	307.642	1.01584
26.216	304.179	1.01566
26.217	300.448	1.01546
26.218	296.528	1.01526
26.219	292.503	1.01505
26.22	288.412	1.01484
26.221	284.285	1.01463
26.222	280.143	1.01442
26.223	275.957	1.0142
26.224	271.691	1.01398
26.225	267.279	1.01375
26.226	262.624	1.01351
26.227	257.614	1.01325
26.228	252.134	1.01297
26.229	246.039	1.01266
26.23	239.171	1.0123
26.231	231.381	1.0119
26.232	222.532	1.01145
26.233	212.482	1.01093
26.234	201.11	1.01034
26.235	188.327	1.00969
26.236	174.058	1.00895
26.237	158.263	1.00814
26.238	140.953	1.00725
26.239	122.138	1.00628
